dataset,intervention,description,n_examples,mean_bos_attention,stderr,display
all_datasets,int_a,Baseline,300,0.563611,0.002173,0.5636 ± 0.0022
all_datasets,int_b,No Query Bias,300,0.250791,0.001626,0.2508 ± 0.0016
all_datasets,int_c,Remove First PE,300,0.017311,0.000596,0.0173 ± 0.0006
all_datasets,int_d,Swap EPE,300,0.034341,0.000819,0.0343 ± 0.0008
all_datasets,int_e,Swap PE,300,0.558853,0.002723,0.5589 ± 0.0027
all_datasets,int_f,Nullify BOS Token,300,0.561927,0.002148,0.5619 ± 0.0021
all_datasets,int_g,No MLP,300,0.279619,0.004800,0.2796 ± 0.0048
all_datasets,int_h,No PE,300,0.099671,0.007027,0.0997 ± 0.0070
all_datasets,int_i,Zero Top-3 Wk,300,0.367317,0.001901,0.3673 ± 0.0019
all_datasets,int_j,Zero Random Wk,300,0.563942,0.002177,0.5639 ± 0.0022
