dataset,intervention,description,n_examples,mean_bos_attention,stderr,display
all_datasets,int_a,Baseline,300,0.564750,0.002145,0.5647 ± 0.0021
all_datasets,int_b,No Query Bias,300,0.252551,0.001584,0.2526 ± 0.0016
all_datasets,int_c,Remove First PE,300,0.016072,0.000631,0.0161 ± 0.0006
all_datasets,int_d,Swap EPE,300,0.034886,0.000780,0.0349 ± 0.0008
all_datasets,int_e,Swap PE,300,0.557260,0.003005,0.5573 ± 0.0030
all_datasets,int_f,Nullify BOS Token,300,0.562985,0.002118,0.5630 ± 0.0021
all_datasets,int_g,No MLP,300,0.289364,0.004832,0.2894 ± 0.0048
all_datasets,int_h,No PE,300,0.096944,0.006939,0.0969 ± 0.0069
all_datasets,int_i,Zero Top-3 Wk,300,0.368364,0.001899,0.3684 ± 0.0019
all_datasets,int_j,Zero Random Wk,300,0.565078,0.002146,0.5651 ± 0.0021
