dataset,intervention,description,n_examples,mean_bos_attention,stderr,display
sst2,int_a,Baseline,100,0.602269,0.002862,0.6023 ± 0.0029
sst2,int_b,No Query Bias,100,0.272001,0.002639,0.2720 ± 0.0026
sst2,int_c,Remove First PE,100,0.012345,0.000792,0.0123 ± 0.0008
sst2,int_d,Swap EPE,100,0.037371,0.001081,0.0374 ± 0.0011
sst2,int_e,Swap PE,100,0.583161,0.006940,0.5832 ± 0.0069
sst2,int_f,Nullify BOS Token,100,0.598694,0.002834,0.5987 ± 0.0028
sst2,int_g,No MLP,100,0.253124,0.010137,0.2531 ± 0.0101
sst2,int_h,No PE,100,0.090965,0.014616,0.0910 ± 0.0146
sst2,int_i,Zero Top-3 Wk,100,0.397475,0.002936,0.3975 ± 0.0029
sst2,int_j,Zero Random Wk,100,0.602722,0.002855,0.6027 ± 0.0029
gsm8k,int_a,Baseline,100,0.552123,0.002799,0.5521 ± 0.0028
gsm8k,int_b,No Query Bias,100,0.239981,0.002091,0.2400 ± 0.0021
gsm8k,int_c,Remove First PE,100,0.012832,0.000871,0.0128 ± 0.0009
gsm8k,int_d,Swap EPE,100,0.039870,0.001841,0.0399 ± 0.0018
gsm8k,int_e,Swap PE,100,0.547268,0.004417,0.5473 ± 0.0044
gsm8k,int_f,Nullify BOS Token,100,0.553047,0.002886,0.5530 ± 0.0029
gsm8k,int_g,No MLP,100,0.296517,0.008074,0.2965 ± 0.0081
gsm8k,int_h,No PE,100,0.119911,0.013234,0.1199 ± 0.0132
gsm8k,int_i,Zero Top-3 Wk,100,0.365664,0.002447,0.3657 ± 0.0024
gsm8k,int_j,Zero Random Wk,100,0.552378,0.002785,0.5524 ± 0.0028
humaneval,int_a,Baseline,100,0.539858,0.001896,0.5399 ± 0.0019
humaneval,int_b,No Query Bias,100,0.245673,0.002347,0.2457 ± 0.0023
humaneval,int_c,Remove First PE,100,0.023040,0.001218,0.0230 ± 0.0012
humaneval,int_d,Swap EPE,100,0.027416,0.000280,0.0274 ± 0.0003
humaneval,int_e,Swap PE,100,0.541351,0.001947,0.5414 ± 0.0019
humaneval,int_f,Nullify BOS Token,100,0.537214,0.001928,0.5372 ± 0.0019
humaneval,int_g,No MLP,100,0.318450,0.004616,0.3184 ± 0.0046
humaneval,int_h,No PE,100,0.079957,0.006235,0.0800 ± 0.0062
humaneval,int_i,Zero Top-3 Wk,100,0.341953,0.001550,0.3420 ± 0.0016
humaneval,int_j,Zero Random Wk,100,0.540133,0.001897,0.5401 ± 0.0019
