dataset,intervention,description,n_examples,mean_bos_attention,stderr,display
all_datasets,int_a,Baseline,300,0.563683,0.002170,0.5637 ± 0.0022
all_datasets,int_b,No Query Bias,300,0.249581,0.001543,0.2496 ± 0.0015
all_datasets,int_c,Remove First PE,300,0.016227,0.000587,0.0162 ± 0.0006
all_datasets,int_d,Swap EPE,300,0.035655,0.000797,0.0357 ± 0.0008
all_datasets,int_e,Swap PE,300,0.557125,0.002966,0.5571 ± 0.0030
all_datasets,int_f,Nullify BOS Token,300,0.561443,0.002129,0.5614 ± 0.0021
all_datasets,int_g,No MLP,300,0.283627,0.005025,0.2836 ± 0.0050
all_datasets,int_h,No PE,300,0.109659,0.008018,0.1097 ± 0.0080
all_datasets,int_i,Zero Top-3 Wk,300,0.366774,0.001850,0.3668 ± 0.0019
all_datasets,int_j,Zero Random Wk,300,0.563977,0.002173,0.5640 ± 0.0022
