dataset,intervention,description,n_examples,mean_bos_attention,stderr,display
sst2,int_a,Baseline,100,0.603626,0.002456,0.6036 ± 0.0025
sst2,int_b,No Query Bias,100,0.273615,0.002262,0.2736 ± 0.0023
sst2,int_c,Remove First PE,100,0.013718,0.000737,0.0137 ± 0.0007
sst2,int_d,Swap EPE,100,0.040438,0.001099,0.0404 ± 0.0011
sst2,int_e,Swap PE,100,0.586207,0.006598,0.5862 ± 0.0066
sst2,int_f,Nullify BOS Token,100,0.600196,0.002479,0.6002 ± 0.0025
sst2,int_g,No MLP,100,0.258652,0.009147,0.2587 ± 0.0091
sst2,int_h,No PE,100,0.092618,0.015249,0.0926 ± 0.0152
sst2,int_i,Zero Top-3 Wk,100,0.398257,0.002615,0.3983 ± 0.0026
sst2,int_j,Zero Random Wk,100,0.604168,0.002438,0.6042 ± 0.0024
gsm8k,int_a,Baseline,100,0.546996,0.003175,0.5470 ± 0.0032
gsm8k,int_b,No Query Bias,100,0.234007,0.002285,0.2340 ± 0.0023
gsm8k,int_c,Remove First PE,100,0.011515,0.000823,0.0115 ± 0.0008
gsm8k,int_d,Swap EPE,100,0.038985,0.001834,0.0390 ± 0.0018
gsm8k,int_e,Swap PE,100,0.543081,0.004229,0.5431 ± 0.0042
gsm8k,int_f,Nullify BOS Token,100,0.547370,0.003170,0.5474 ± 0.0032
gsm8k,int_g,No MLP,100,0.282245,0.008775,0.2822 ± 0.0088
gsm8k,int_h,No PE,100,0.115259,0.011548,0.1153 ± 0.0115
gsm8k,int_i,Zero Top-3 Wk,100,0.360837,0.002701,0.3608 ± 0.0027
gsm8k,int_j,Zero Random Wk,100,0.547241,0.003168,0.5472 ± 0.0032
humaneval,int_a,Baseline,100,0.540797,0.001935,0.5408 ± 0.0019
humaneval,int_b,No Query Bias,100,0.246622,0.002256,0.2466 ± 0.0023
humaneval,int_c,Remove First PE,100,0.024219,0.001139,0.0242 ± 0.0011
humaneval,int_d,Swap EPE,100,0.027429,0.000302,0.0274 ± 0.0003
humaneval,int_e,Swap PE,100,0.542341,0.001982,0.5423 ± 0.0020
humaneval,int_f,Nullify BOS Token,100,0.537854,0.001959,0.5379 ± 0.0020
humaneval,int_g,No MLP,100,0.313052,0.005334,0.3131 ± 0.0053
humaneval,int_h,No PE,100,0.078652,0.006155,0.0787 ± 0.0062
humaneval,int_i,Zero Top-3 Wk,100,0.343665,0.001553,0.3437 ± 0.0016
humaneval,int_j,Zero Random Wk,100,0.541028,0.001931,0.5410 ± 0.0019
