layer,position,p10,p50,p90,mean,std
1,0,9.765182590484619,16.263938903808594,55.20369071960449,24.087994569312368,16.83702891054879
1,1,4.064598464965821,9.063663005828857,33.08338680267334,14.532299475868543,11.37061700058303
1,2,2.8702071189880374,6.777556419372559,23.204349517822266,10.804749088916514,8.884969519362379
1,3,2.5080854892730713,6.94596529006958,25.877010822296135,11.09189600534737,9.639762512053728
1,4,2.083601951599121,6.190707206726074,21.82265677452087,9.649277060168485,8.387200716006436
1,5,1.936020088195801,6.168176651000977,22.83741111755371,9.63182182924201,8.681666775370447
1,6,1.859029006958008,5.960751533508301,20.463610458374024,9.008969750884507,8.109991655395493
1,7,1.724080276489258,5.926462888717651,21.56577672958373,9.002159810612598,8.368036960991395
1,8,1.7342830657958985,5.694092750549316,20.277520704269406,8.619882926750515,7.964584704885043
1,9,1.4067781925201417,5.250463485717773,20.494865751266477,8.292523297352924,7.9511713305763125
1,10,1.3539850234985351,5.268064975738525,20.426245641708373,8.206469958143101,7.8673245439268085
1,11,1.3229166984558107,4.718087911605835,18.28827857971191,7.541430297897508,7.464140503048961
1,12,1.0471473693847657,4.447360038757324,18.041422605514523,7.282805892671976,7.338037104031389
1,13,1.0252918243408204,4.037595272064209,17.043396162986753,6.727197051424947,6.974983579119186
1,14,0.9755094528198243,3.9534149169921875,17.158278799057005,6.629342783557044,6.910463690037136
1,15,1.0305999755859374,4.119823455810547,17.753179550170895,6.912294922458629,7.139690157009296
1,16,1.066624641418457,4.158403396606445,17.374001026153564,6.870948949145774,7.051888102007049
1,17,0.7656339645385744,3.836573362350464,16.25202860236168,6.399952581762854,7.0177814977671185
1,18,0.8255938529968262,3.7829644680023193,16.443299388885496,6.451360928066489,7.012498669223153
1,19,0.7494842529296876,3.6707992553710938,16.042363548278804,6.153727184523725,6.720886220197779
1,20,0.662290382385254,3.578017234802246,15.625286674499511,6.023577026675145,6.681360046040414
1,21,0.47497329711914066,3.3102962970733643,14.890480732917784,5.697584397472028,6.442387482714195
1,22,0.5558820724487304,3.3401803970336914,15.298592305183409,5.928140988449256,6.834760848230054
1,23,0.6515661239624024,3.592013359069824,15.457012844085693,5.971877774728669,6.576329196717536
1,24,0.4423522949218751,3.3655052185058594,15.439786684513091,5.8942035970692,6.773479205879162
1,25,0.626163101196289,3.4247875213623047,14.478163719177243,5.658490037827028,6.421405700614472
1,26,0.563215446472168,3.6280202865600586,15.832647669315337,6.090999222333647,6.765784906120133
1,27,0.6232137680053711,3.641134262084961,15.070485293865204,5.986948036675652,6.70455732855174
1,28,0.6133665084838867,3.7116899490356445,15.531924253702162,6.147363900128338,6.8003004685783255
1,29,0.6792774200439453,3.6359968185424805,14.772055658698077,5.888678563015742,6.543122325170059
1,30,0.5712426185607911,3.4379844665527344,13.958583259582518,5.563850898709562,6.236748083299446
1,31,0.6475461959838867,3.6136322021484375,15.162554359436033,5.995446766544547,6.644615142280933
1,32,0.7260282516479494,3.6133689880371094,15.279505145549773,6.082658395895527,6.854765709579349
1,33,0.8941542625427247,3.91753888130188,15.674225711822508,6.4059267525623245,6.911127369893836
1,34,0.847314262390137,3.998162269592285,15.468850159645081,6.440884854243033,6.911722630875907
1,35,0.9952041625976563,4.006577491760254,15.226032048463814,6.337685076076951,6.752125928506566
1,36,0.8983844757080078,3.8649821281433105,14.943133676052094,6.172343756949736,6.722763036330575
1,37,1.059532165527344,4.023079872131348,15.761311894655227,6.586206105425954,7.05020043580386
1,38,0.9648000717163087,3.731410264968872,14.60846466422081,6.084505022617264,6.666703395351501
1,39,1.1660722732543947,4.196210861206055,15.822061657905572,6.715975311129458,7.025245616531884
2,0,2.5398047447204597,16.214624866843224,30.814229929447173,17.134291236688796,9.326969725504982
2,1,2.1244209766387945,11.612146854400635,22.88800544738769,12.673540790202097,8.537165765633521
2,2,4.584140682220459,11.905354738235474,21.282647371292114,12.849252719378306,7.590064248453766
2,3,3.9880528450012207,10.825976371765137,20.87206001281738,11.98760771854884,7.690507549718484
2,4,4.374543690681458,10.824324131011963,20.13314278721809,11.986465090697942,7.411828770135702
2,5,4.03502082824707,10.030092477798462,19.87583198547363,11.377280436735083,7.338501631912157
2,6,4.458343791961671,10.2146577835083,19.852468872070308,11.63010734576318,7.216819906150282
2,7,4.209070491790771,9.716543674468994,19.758140850067136,11.289232271134129,7.252088047833248
2,8,4.642968273162842,9.864526748657227,20.26543321609497,11.440059168436047,7.122919696070863
2,9,4.099417114257813,9.191250801086426,19.211098670959473,10.809674174028139,7.107232027838944
2,10,4.08299789428711,8.88432788848877,18.486624050140378,10.544397692188827,7.018568503896507
2,11,4.1221087932586675,8.790003299713135,18.856742113828652,10.530526365919245,6.984309936599173
2,12,3.860547733306885,8.135569095611572,18.01295818686483,10.01712938968105,6.938595188679195
2,13,3.6094543457031256,7.8194451332092285,17.901534748077374,9.645937070281555,6.903857679455276
2,14,3.5823617935180665,7.590077877044678,17.65460226535797,9.437910432832885,6.858226012390645
2,15,3.240661430358887,7.145096302032471,16.863218498229973,9.027908250292143,6.860298252374314
2,16,3.239892673492432,7.071793079376221,17.449911558628077,9.038787702520171,6.893686699890809
2,17,3.420228910446167,7.089800834655762,17.68462480306625,9.111663189173884,6.873310885275892
2,18,2.834595775604248,6.58348274230957,17.432003688812255,8.5291201399929,6.9102630983251325
2,19,2.720618057250977,6.225644111633301,17.226286631822582,8.250950924054615,6.84412537680838
2,20,2.4825752258300784,6.119684219360352,17.180235993862148,8.152169722709806,6.902111027449137
2,21,2.3903289794921876,5.8819475173950195,17.183941149711604,7.889736441448331,6.877850437015841
2,22,2.262377452850342,5.636279344558716,16.17271744012832,7.74169276756131,6.881511533461934
2,23,2.0819879531860352,5.470426559448242,16.43523295819759,7.582990060249965,6.87800914790202
2,24,1.7419173240661625,5.064846038818359,16.237373065948486,7.1844908685351,6.955123292060946
2,25,1.7862376213073732,5.102533340454102,16.776037776470183,7.293494210098353,6.94619402301183
2,26,1.4870668411254884,4.846774101257324,15.91395177841185,7.042412272083262,7.024396034812663
2,27,1.6676592826843264,4.964478015899658,17.15714336633682,7.25400230742991,7.0254992061971935
2,28,1.559280014038086,4.769805908203125,16.160811829566953,7.005073039844994,6.970650915941329
2,29,1.6288217544555665,4.846878528594971,16.356291902065273,7.083891910566017,7.029227246560336
2,30,1.4577381610870361,4.6165971755981445,15.767099443078035,6.802533985703356,6.94669869714086
2,31,0.8809312820434572,4.182112216949463,15.582264971733087,6.4350522224273945,7.020174336771076
2,32,0.793384647369385,4.014558792114258,16.62182636260985,6.381620431043104,7.108813219503742
2,33,0.5912984848022462,3.9999513626098633,15.822043180465696,6.2109550010599195,7.041224191888701
2,34,0.6668079376220705,3.968273639678955,16.10837502479553,6.310748708069117,7.132257543887119
2,35,0.6356417655944825,4.014080762863159,17.060420596599577,6.311984431838824,7.136223948121567
2,36,0.5393997192382814,3.8463845252990723,16.35162626504898,6.138286131442421,7.097408162337962
2,37,0.307011127471924,3.7653398513793945,16.726592254638668,6.134540355743633,7.180313175417448
2,38,0.29273242950439454,3.7741637229919434,16.235431671142575,6.153551391052703,7.1471790581529095
2,39,0.0,3.648951530456543,16.242082691192618,6.052143897797085,7.232861675571698
3,0,11.280090570449829,40.293776988983154,67.32017993927,41.12846586154567,22.04205402542249
3,1,4.315308952331543,28.476765036582947,41.39849119186401,23.848132302426578,14.89898816402965
3,2,3.8144185066223146,25.26933479309082,36.84461812973022,21.304323337765204,13.143201221519334
3,3,3.826392507553101,22.251585841178894,35.753522109985354,19.52326201191379,12.180152947486082
3,4,3.3881646156311036,19.920349597930908,33.444536209106445,18.120039165616035,11.38854777473031
3,5,3.195188617706299,18.275834441184998,31.557224082946775,16.894567067490684,10.688208289024844
3,6,3.111549186706543,16.964065551757812,29.654069900512685,16.03467618955506,10.09357402975266
3,7,3.175248432159424,16.00696611404419,28.479594039916993,15.351755080951584,9.524450547719042
3,8,2.977511501312256,15.01875114440918,27.004968452453614,14.583686702052752,9.019839998124015
3,9,2.923954963684082,14.068859815597534,25.599866676330567,13.722515015602111,8.461141566806408
3,10,2.867497730255127,12.955628871917725,24.015691184997557,12.886198970344331,7.91990556396906
3,11,2.7235254764556887,12.339170932769775,22.689895629882812,12.283828747007583,7.5535260476378765
3,12,2.5943655014038085,11.385144233703613,21.27683868408203,11.459288216100799,7.055290044450343
3,13,2.3144536495208743,10.499284267425537,19.76344871520996,10.675951572060585,6.6288034058612295
3,14,2.351513481140137,10.050549507141113,18.92028522491455,10.12123667942153,6.215867957746439
3,15,2.2232385635375977,9.360308170318604,17.880737495422363,9.561466529303127,5.908173014946799
3,16,2.117258453369141,8.794658660888672,17.08896369934082,9.086345804135005,5.6574628733863985
3,17,2.045516872406006,8.460855960845947,15.97451343536377,8.707292246222496,5.3208419495427
3,18,1.8998805999755861,7.757183074951172,15.156578063964844,8.145887097583877,5.067385985133545
3,19,1.7771111488342286,7.187572479248047,14.109452629089356,7.538686535159747,4.7216804409788296
