dataset,intervention,description,n_examples,mean_bos_attention,stderr,display
sst2,int_a,Baseline,100,0.601663,0.002535,0.6017 ± 0.0025
sst2,int_b,No Query Bias,100,0.270221,0.002730,0.2702 ± 0.0027
sst2,int_c,Remove First PE,100,0.014172,0.000866,0.0142 ± 0.0009
sst2,int_d,Swap EPE,100,0.039672,0.001199,0.0397 ± 0.0012
sst2,int_e,Swap PE,100,0.593137,0.005349,0.5931 ± 0.0053
sst2,int_f,Nullify BOS Token,100,0.598028,0.002586,0.5980 ± 0.0026
sst2,int_g,No MLP,100,0.251069,0.009768,0.2511 ± 0.0098
sst2,int_h,No PE,100,0.121845,0.016812,0.1218 ± 0.0168
sst2,int_i,Zero Top-3 Wk,100,0.395057,0.002600,0.3951 ± 0.0026
sst2,int_j,Zero Random Wk,100,0.602271,0.002515,0.6023 ± 0.0025
gsm8k,int_a,Baseline,100,0.551910,0.002853,0.5519 ± 0.0029
gsm8k,int_b,No Query Bias,100,0.238755,0.002410,0.2388 ± 0.0024
gsm8k,int_c,Remove First PE,100,0.011983,0.000771,0.0120 ± 0.0008
gsm8k,int_d,Swap EPE,100,0.037870,0.001853,0.0379 ± 0.0019
gsm8k,int_e,Swap PE,100,0.550373,0.003430,0.5504 ± 0.0034
gsm8k,int_f,Nullify BOS Token,100,0.552738,0.002856,0.5527 ± 0.0029
gsm8k,int_g,No MLP,100,0.283247,0.009474,0.2832 ± 0.0095
gsm8k,int_h,No PE,100,0.127777,0.012530,0.1278 ± 0.0125
gsm8k,int_i,Zero Top-3 Wk,100,0.363633,0.002570,0.3636 ± 0.0026
gsm8k,int_j,Zero Random Wk,100,0.552271,0.002845,0.5523 ± 0.0028
humaneval,int_a,Baseline,100,0.543306,0.001958,0.5433 ± 0.0020
humaneval,int_b,No Query Bias,100,0.245509,0.002457,0.2455 ± 0.0025
humaneval,int_c,Remove First PE,100,0.023276,0.001131,0.0233 ± 0.0011
humaneval,int_d,Swap EPE,100,0.027392,0.000281,0.0274 ± 0.0003
humaneval,int_e,Swap PE,100,0.544792,0.001998,0.5448 ± 0.0020
humaneval,int_f,Nullify BOS Token,100,0.540266,0.001993,0.5403 ± 0.0020
humaneval,int_g,No MLP,100,0.303510,0.005776,0.3035 ± 0.0058
humaneval,int_h,No PE,100,0.079091,0.006125,0.0791 ± 0.0061
humaneval,int_i,Zero Top-3 Wk,100,0.343814,0.001648,0.3438 ± 0.0016
humaneval,int_j,Zero Random Wk,100,0.543515,0.001953,0.5435 ± 0.0020
