seed,dataset,intervention,description,n_examples,mean_bos_attention,stderr,display,baseline_mean_bos_attention,relative_to_baseline_pct
5,sst2,int_f,Nullify BOS Token,100,0.597947,0.002845,0.5979 ± 0.0028,0.601235,99.45312564970436
5,sst2,int_g,No MLP,100,0.24296,0.00867,0.2430 ± 0.0087,0.601235,40.410155762721736
5,sst2,int_h,No PE,100,0.133397,0.019134,0.1334 ± 0.0191,0.601235,22.187164752551
5,sst2,int_i,Zero Top-3 Wk,100,0.396443,0.003199,0.3964 ± 0.0032,0.601235,65.93811072209702
5,sst2,int_j,Zero Random Wk,100,0.601815,0.002839,0.6018 ± 0.0028,0.601235,100.09646810315435
5,gsm8k,int_a,Baseline,100,0.547588,0.002784,0.5476 ± 0.0028,0.547588,100.0
5,gsm8k,int_b,No Query Bias,100,0.239249,0.002118,0.2392 ± 0.0021,0.547588,43.69142493991833
5,gsm8k,int_c,Remove First PE,100,0.013394,0.000891,0.0134 ± 0.0009,0.547588,2.4459995471047575
5,gsm8k,int_d,Swap EPE,100,0.036305,0.001901,0.0363 ± 0.0019,0.547588,6.629984586952234
5,gsm8k,int_e,Swap PE,100,0.541388,0.004685,0.5414 ± 0.0047,0.547588,98.86776189397868
5,gsm8k,int_f,Nullify BOS Token,100,0.548288,0.002903,0.5483 ± 0.0029,0.547588,100.1278333345508
5,gsm8k,int_g,No MLP,100,0.29308,0.010492,0.2931 ± 0.0105,0.547588,53.52199098592373
5,gsm8k,int_h,No PE,100,0.112178,0.012132,0.1122 ± 0.0121,0.547588,20.48583971891276
5,gsm8k,int_i,Zero Top-3 Wk,100,0.362705,0.00237,0.3627 ± 0.0024,0.547588,66.23684229749374
5,gsm8k,int_j,Zero Random Wk,100,0.547765,0.002767,0.5478 ± 0.0028,0.547588,100.03232357173641
5,humaneval,int_a,Baseline,100,0.543818,0.001791,0.5438 ± 0.0018,0.543818,100.0
5,humaneval,int_b,No Query Bias,100,0.247347,0.002307,0.2473 ± 0.0023,0.543818,45.483415407360546
5,humaneval,int_c,Remove First PE,100,0.023727,0.001134,0.0237 ± 0.0011,0.543818,4.363040576075083
5,humaneval,int_d,Swap EPE,100,0.027446,0.000268,0.0274 ± 0.0003,0.543818,5.046909076198287
5,humaneval,int_e,Swap PE,100,0.545407,0.001828,0.5454 ± 0.0018,0.543818,100.29219334409673
5,humaneval,int_f,Nullify BOS Token,100,0.540904,0.001821,0.5409 ± 0.0018,0.543818,99.46415896494783
5,humaneval,int_g,No MLP,100,0.302559,0.005916,0.3026 ± 0.0059,0.543818,55.636076775685986
5,humaneval,int_h,No PE,100,0.082431,0.006192,0.0824 ± 0.0062,0.543818,15.157828538224186
5,humaneval,int_i,Zero Top-3 Wk,100,0.344387,0.001548,0.3444 ± 0.0015,0.543818,63.3276206377869
5,humaneval,int_j,Zero Random Wk,100,0.544053,0.001784,0.5441 ± 0.0018,0.543818,100.04321298669775
6,sst2,int_a,Baseline,100,0.603895,0.002722,0.6039 ± 0.0027,0.603895,100.0
6,sst2,int_b,No Query Bias,100,0.271323,0.002817,0.2713 ± 0.0028,0.603895,44.92883696669123
6,sst2,int_c,Remove First PE,100,0.013279,0.000788,0.0133 ± 0.0008,0.603895,2.1988921915233606
6,sst2,int_d,Swap EPE,100,0.037485,0.001109,0.0375 ± 0.0011,0.603895,6.207204894890668
6,sst2,int_e,Swap PE,100,0.586357,0.006689,0.5864 ± 0.0067,0.603895,97.09585275585988
6,sst2,int_f,Nullify BOS Token,100,0.600452,0.002707,0.6005 ± 0.0027,0.603895,99.42986777502712
