seed,dataset,intervention,description,n_examples,mean_bos_attention,stderr,display,baseline_mean_bos_attention,relative_to_baseline_pct
5,all_datasets,int_f,Nullify BOS Token,300,0.56238,0.002082,0.5624 ± 0.0021,0.564214,99.67494603111585
5,all_datasets,int_g,No MLP,300,0.279533,0.005157,0.2795 ± 0.0052,0.564214,49.54379012218768
5,all_datasets,int_h,No PE,300,0.109335,0.007896,0.1093 ± 0.0079,0.564214,19.37828554413751
5,all_datasets,int_i,Zero Top-3 Wk,300,0.367845,0.001889,0.3678 ± 0.0019,0.564214,65.1960071887617
5,all_datasets,int_j,Zero Random Wk,300,0.564544,0.002102,0.5645 ± 0.0021,0.564214,100.0584884458734
6,all_datasets,int_a,Baseline,300,0.56534,0.002151,0.5653 ± 0.0022,0.56534,100.0
6,all_datasets,int_b,No Query Bias,300,0.252012,0.001619,0.2520 ± 0.0016,0.56534,44.577068666643086
6,all_datasets,int_c,Remove First PE,300,0.015748,0.000586,0.0157 ± 0.0006,0.56534,2.7855803587221857
6,all_datasets,int_d,Swap EPE,300,0.034884,0.000781,0.0349 ± 0.0008,0.56534,6.170446103229915
6,all_datasets,int_e,Swap PE,300,0.559031,0.002868,0.5590 ± 0.0029,0.56534,98.88403438638696
6,all_datasets,int_f,Nullify BOS Token,300,0.563339,0.002127,0.5633 ± 0.0021,0.56534,99.64605370219692
6,all_datasets,int_g,No MLP,300,0.282715,0.005017,0.2827 ± 0.0050,0.56534,50.00795981179468
6,all_datasets,int_h,No PE,300,0.105986,0.006951,0.1060 ± 0.0070,0.56534,18.74730250822514
6,all_datasets,int_i,Zero Top-3 Wk,300,0.368728,0.001894,0.3687 ± 0.0019,0.56534,65.22234407613118
6,all_datasets,int_j,Zero Random Wk,300,0.565666,0.002154,0.5657 ± 0.0022,0.56534,100.05766441433475
