dataset,intervention,description,mean_bos_attention_mean,mean_bos_attention_std,stderr_mean,relative_to_baseline_pct_mean,relative_to_baseline_pct_std,n_seeds
gsm8k,int_a,Baseline,0.5496712857142857,0.002298013179124211,0.0028524285714285713,100.0,0.0,7
gsm8k,int_b,No Query Bias,0.23768914285714285,0.0023133776481277686,0.002192,43.241674031073885,0.3268285645230467,7
gsm8k,int_c,Remove First PE,0.012592714285714287,0.0013816388474423792,0.0008521428571428571,2.291339521904031,0.2556584558542116,7
gsm8k,int_d,Swap EPE,0.038459714285714285,0.001575895482393607,0.0018844285714285714,6.996472154347265,0.2743352784828521,7
gsm8k,int_e,Swap PE,0.5458648571428572,0.0034509173383595474,0.004055285714285714,99.30722622382028,0.39575371065460707,7
gsm8k,int_f,Nullify BOS Token,0.5503145714285714,0.0023684480049983776,0.0029028571428571432,100.11699832483608,0.053197363706720395,7
gsm8k,int_g,No MLP,0.2880324285714285,0.00697409785939234,0.009072,52.40136905607438,1.2740578819070618,7
gsm8k,int_h,No PE,0.126743,0.012081956781360658,0.013092999999999999,23.054808774956996,2.157983061437341,7
gsm8k,int_i,Zero Top-3 Wk,0.363354,0.0017334993510238108,0.0024565714285714286,66.10384017778938,0.13499790158188535,7
gsm8k,int_j,Zero Random Wk,0.5499061428571428,0.0023341429853782655,0.0028409999999999998,100.04270433350855,0.011358772156446298,7
humaneval,int_a,Baseline,0.5409752857142857,0.0018459317172533035,0.001933,100.0,0.0,7
humaneval,int_b,No Query Bias,0.2456377142857143,0.0011021105078115269,0.0023004285714285713,45.406493431566446,0.14594297060693312,7
humaneval,int_c,Remove First PE,0.023039428571428572,0.0008004896120797697,0.001109857142857143,4.258660735986838,0.14016052760483452,7
humaneval,int_d,Swap EPE,0.02741642857142857,0.00010177566366418744,0.00028342857142857146,5.0680053207963125,0.023531346943394166,7
humaneval,int_e,Swap PE,0.5424947142857143,0.0018700994371321365,0.001978142857142857,100.2808586512575,0.011613138847484153,7
humaneval,int_f,Nullify BOS Token,0.5380522857142858,0.0018108326550959704,0.001958714285714286,99.45969579664265,0.025288419674541245,7
humaneval,int_g,No MLP,0.309463,0.005489826560709057,0.00568,57.207405859980476,1.1647362226048068,7
humaneval,int_h,No PE,0.07961371428571429,0.0015522831264823762,0.0061431428571428566,14.71637303696699,0.26129251965503725,7
humaneval,int_i,Zero Top-3 Wk,0.3426217142857143,0.0013242632812606612,0.0015772857142857144,63.33405981753852,0.10232361379367778,7
humaneval,int_j,Zero Random Wk,0.5412072857142857,0.0018406385408588995,0.0019314285714285716,100.04288885082795,0.004000107771453501,7
sst2,int_a,Baseline,0.6026522857142858,0.0011285720644965151,0.0026697142857142857,100.0,0.0,7
sst2,int_b,No Query Bias,0.2709338571428571,0.0017538529421981385,0.0026468571428571426,44.95674295349857,0.24472940210660832,7
sst2,int_c,Remove First PE,0.01354,0.001003259354969259,0.0007944285714285715,2.2466601653527047,0.16539513364267538,7
sst2,int_d,Swap EPE,0.03919557142857143,0.001311148587707594,0.0011142857142857141,6.503983165400825,0.22197923647316778,7
sst2,int_e,Swap PE,0.587203,0.0031515068882467428,0.006400142857142857,97.43680658130224,0.5671154741586065,7
sst2,int_f,Nullify BOS Token,0.5991577142857142,0.0012512647886952384,0.0026632857142857144,99.42010566518199,0.04119991113447732,7
sst2,int_g,No MLP,0.2505545714285714,0.006507865647484906,0.009368857142857142,41.574410539155124,1.035342633458145,7
sst2,int_h,No PE,0.10507600000000002,0.016776460155030714,0.01595042857142857,17.439302294764556,2.8134209770802014,7
sst2,int_i,Zero Top-3 Wk,0.3972168571428571,0.0014755399495971406,0.0028085714285714285,65.91129775543763,0.1462338342143688,7
sst2,int_j,Zero Random Wk,0.6031888571428572,0.0011249609517032986,0.002657142857142857,100.08903659850709,0.009268978641087328,7
