dataset,intervention,description,n_examples,mean_bos_attention,stderr,display
all_datasets,int_a,Baseline,300,0.564214,0.002099,0.5642 ± 0.0021
all_datasets,int_b,No Query Bias,300,0.252096,0.001583,0.2521 ± 0.0016
all_datasets,int_c,Remove First PE,300,0.016418,0.000606,0.0164 ± 0.0006
all_datasets,int_d,Swap EPE,300,0.034807,0.000823,0.0348 ± 0.0008
all_datasets,int_e,Swap PE,300,0.557400,0.003002,0.5574 ± 0.0030
all_datasets,int_f,Nullify BOS Token,300,0.562380,0.002082,0.5624 ± 0.0021
all_datasets,int_g,No MLP,300,0.279533,0.005157,0.2795 ± 0.0052
all_datasets,int_h,No PE,300,0.109335,0.007896,0.1093 ± 0.0079
all_datasets,int_i,Zero Top-3 Wk,300,0.367845,0.001889,0.3678 ± 0.0019
all_datasets,int_j,Zero Random Wk,300,0.564544,0.002102,0.5645 ± 0.0021
