dataset,intervention,description,n_examples,mean_bos_attention,stderr,display
sst2,int_a,Baseline,100,0.601235,0.002850,0.6012 ± 0.0028
sst2,int_b,No Query Bias,100,0.269691,0.002805,0.2697 ± 0.0028
sst2,int_c,Remove First PE,100,0.012132,0.000659,0.0121 ± 0.0007
sst2,int_d,Swap EPE,100,0.040669,0.001240,0.0407 ± 0.0012
sst2,int_e,Swap PE,100,0.585404,0.006663,0.5854 ± 0.0067
sst2,int_f,Nullify BOS Token,100,0.597947,0.002845,0.5979 ± 0.0028
sst2,int_g,No MLP,100,0.242960,0.008670,0.2430 ± 0.0087
sst2,int_h,No PE,100,0.133397,0.019134,0.1334 ± 0.0191
sst2,int_i,Zero Top-3 Wk,100,0.396443,0.003199,0.3964 ± 0.0032
sst2,int_j,Zero Random Wk,100,0.601815,0.002839,0.6018 ± 0.0028
gsm8k,int_a,Baseline,100,0.547588,0.002784,0.5476 ± 0.0028
gsm8k,int_b,No Query Bias,100,0.239249,0.002118,0.2392 ± 0.0021
gsm8k,int_c,Remove First PE,100,0.013394,0.000891,0.0134 ± 0.0009
gsm8k,int_d,Swap EPE,100,0.036305,0.001901,0.0363 ± 0.0019
gsm8k,int_e,Swap PE,100,0.541388,0.004685,0.5414 ± 0.0047
gsm8k,int_f,Nullify BOS Token,100,0.548288,0.002903,0.5483 ± 0.0029
gsm8k,int_g,No MLP,100,0.293080,0.010492,0.2931 ± 0.0105
gsm8k,int_h,No PE,100,0.112178,0.012132,0.1122 ± 0.0121
gsm8k,int_i,Zero Top-3 Wk,100,0.362705,0.002370,0.3627 ± 0.0024
gsm8k,int_j,Zero Random Wk,100,0.547765,0.002767,0.5478 ± 0.0028
humaneval,int_a,Baseline,100,0.543818,0.001791,0.5438 ± 0.0018
humaneval,int_b,No Query Bias,100,0.247347,0.002307,0.2473 ± 0.0023
humaneval,int_c,Remove First PE,100,0.023727,0.001134,0.0237 ± 0.0011
humaneval,int_d,Swap EPE,100,0.027446,0.000268,0.0274 ± 0.0003
humaneval,int_e,Swap PE,100,0.545407,0.001828,0.5454 ± 0.0018
humaneval,int_f,Nullify BOS Token,100,0.540904,0.001821,0.5409 ± 0.0018
humaneval,int_g,No MLP,100,0.302559,0.005916,0.3026 ± 0.0059
humaneval,int_h,No PE,100,0.082431,0.006192,0.0824 ± 0.0062
humaneval,int_i,Zero Top-3 Wk,100,0.344387,0.001548,0.3444 ± 0.0015
humaneval,int_j,Zero Random Wk,100,0.544053,0.001784,0.5441 ± 0.0018
