dataset,intervention,description,n_examples,mean_bos_attention,stderr,display
sst2,int_a,Baseline,100,0.603895,0.002722,0.6039 ± 0.0027
sst2,int_b,No Query Bias,100,0.271323,0.002817,0.2713 ± 0.0028
sst2,int_c,Remove First PE,100,0.013279,0.000788,0.0133 ± 0.0008
sst2,int_d,Swap EPE,100,0.037485,0.001109,0.0375 ± 0.0011
sst2,int_e,Swap PE,100,0.586357,0.006689,0.5864 ± 0.0067
sst2,int_f,Nullify BOS Token,100,0.600452,0.002707,0.6005 ± 0.0027
sst2,int_g,No MLP,100,0.258142,0.009617,0.2581 ± 0.0096
sst2,int_h,No PE,100,0.094949,0.014058,0.0949 ± 0.0141
sst2,int_i,Zero Top-3 Wk,100,0.398655,0.002903,0.3987 ± 0.0029
sst2,int_j,Zero Random Wk,100,0.604415,0.002713,0.6044 ± 0.0027
gsm8k,int_a,Baseline,100,0.552063,0.002724,0.5521 ± 0.0027
gsm8k,int_b,No Query Bias,100,0.239566,0.002359,0.2396 ± 0.0024
gsm8k,int_c,Remove First PE,100,0.011118,0.000679,0.0111 ± 0.0007
gsm8k,int_d,Swap EPE,100,0.039555,0.001838,0.0396 ± 0.0018
gsm8k,int_e,Swap PE,100,0.549061,0.003774,0.5491 ± 0.0038
gsm8k,int_f,Nullify BOS Token,100,0.552476,0.002779,0.5525 ± 0.0028
gsm8k,int_g,No MLP,100,0.282000,0.009085,0.2820 ± 0.0091
gsm8k,int_h,No PE,100,0.142269,0.013406,0.1423 ± 0.0134
gsm8k,int_i,Zero Top-3 Wk,100,0.365471,0.002258,0.3655 ± 0.0023
gsm8k,int_j,Zero Random Wk,100,0.552287,0.002713,0.5523 ± 0.0027
humaneval,int_a,Baseline,100,0.540061,0.001957,0.5401 ± 0.0020
humaneval,int_b,No Query Bias,100,0.245147,0.002107,0.2451 ± 0.0021
humaneval,int_c,Remove First PE,100,0.022845,0.001116,0.0228 ± 0.0011
humaneval,int_d,Swap EPE,100,0.027611,0.000304,0.0276 ± 0.0003
humaneval,int_e,Swap PE,100,0.541676,0.001994,0.5417 ± 0.0020
humaneval,int_f,Nullify BOS Token,100,0.537089,0.001965,0.5371 ± 0.0020
humaneval,int_g,No MLP,100,0.308004,0.006361,0.3080 ± 0.0064
humaneval,int_h,No PE,100,0.080741,0.006281,0.0807 ± 0.0063
humaneval,int_i,Zero Top-3 Wk,100,0.342058,0.001621,0.3421 ± 0.0016
humaneval,int_j,Zero Random Wk,100,0.540297,0.001959,0.5403 ± 0.0020
