dataset,intervention,description,n_examples,mean_bos_attention,stderr,display
all_datasets,int_a,Baseline,300,0.565340,0.002151,0.5653 ± 0.0022
all_datasets,int_b,No Query Bias,300,0.252012,0.001619,0.2520 ± 0.0016
all_datasets,int_c,Remove First PE,300,0.015748,0.000586,0.0157 ± 0.0006
all_datasets,int_d,Swap EPE,300,0.034884,0.000781,0.0349 ± 0.0008
all_datasets,int_e,Swap PE,300,0.559031,0.002868,0.5590 ± 0.0029
all_datasets,int_f,Nullify BOS Token,300,0.563339,0.002127,0.5633 ± 0.0021
all_datasets,int_g,No MLP,300,0.282715,0.005017,0.2827 ± 0.0050
all_datasets,int_h,No PE,300,0.105986,0.006951,0.1060 ± 0.0070
all_datasets,int_i,Zero Top-3 Wk,300,0.368728,0.001894,0.3687 ± 0.0019
all_datasets,int_j,Zero Random Wk,300,0.565666,0.002154,0.5657 ± 0.0022
